"date" "music" "popul" "chord" "key" "artist"
"1" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "Em" "C" "os paralamas do sucesso"
"2" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "Em" "C" "os paralamas do sucesso"
"3" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "C" "C" "os paralamas do sucesso"
"4" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "A/C#" "C" "os paralamas do sucesso"
"5" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "C" "C" "os paralamas do sucesso"
"6" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "G" "C" "os paralamas do sucesso"
"7" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "F" "C" "os paralamas do sucesso"
"8" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "C" "C" "os paralamas do sucesso"
"9" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "A" "C" "os paralamas do sucesso"
"10" "2005-01-01" " os paralamas do sucesso 220 desencapado " 6 "D" "C" "os paralamas do sucesso"
"11" NA " os paralamas do sucesso 2a " NA "F#m7" "A" "os paralamas do sucesso"
"12" NA " os paralamas do sucesso 2a " NA "F#m7" "A" "os paralamas do sucesso"
"13" NA " os paralamas do sucesso 2a " NA "Bm7" "A" "os paralamas do sucesso"
"14" NA " os paralamas do sucesso 2a " NA "F#m7" "A" "os paralamas do sucesso"
"15" NA " os paralamas do sucesso 2a " NA "Bm7" "A" "os paralamas do sucesso"
"16" NA " os paralamas do sucesso 2a " NA "Bm7/A" "A" "os paralamas do sucesso"
"17" NA " os paralamas do sucesso 2a " NA "G#m7" "A" "os paralamas do sucesso"
"18" NA " os paralamas do sucesso 2a " NA "C#7" "A" "os paralamas do sucesso"
"19" NA " os paralamas do sucesso 2a " NA "F#m7" "A" "os paralamas do sucesso"
"20" NA " os paralamas do sucesso 2a " NA "A" "A" "os paralamas do sucesso"
"21" NA " os paralamas do sucesso 2a " NA "E/G#" "A" "os paralamas do sucesso"
"22" NA " os paralamas do sucesso 2a " NA "D" "A" "os paralamas do sucesso"
"23" NA " os paralamas do sucesso 2a " NA "E" "A" "os paralamas do sucesso"
"24" NA " os paralamas do sucesso 2a " NA "A" "A" "os paralamas do sucesso"
"25" NA " os paralamas do sucesso 2a " NA "E/G#" "A" "os paralamas do sucesso"
"26" NA " os paralamas do sucesso 2a " NA "D" "A" "os paralamas do sucesso"
"27" NA " os paralamas do sucesso 2a " NA "E" "A" "os paralamas do sucesso"
"28" NA " os paralamas do sucesso 2a " NA "F#m7" "A" "os paralamas do sucesso"
"29" "1986-01-06" " os paralamas do sucesso a dama o vagabundo " 18 "G" "C" "os paralamas do sucesso"
"30" "1986-01-06" " os paralamas do sucesso a dama o vagabundo " 18 "G" "C" "os paralamas do sucesso"
"31" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"32" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"33" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"34" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"35" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"36" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"37" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"38" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"39" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"40" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"41" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"42" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"43" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"44" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"45" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"46" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"47" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"48" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"49" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"50" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"51" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"52" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"53" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"54" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"55" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"56" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"57" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"58" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"59" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"60" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"61" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"62" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"63" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"64" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"65" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"66" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"67" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"68" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
"69" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "E" "E" "os paralamas do sucesso"
"70" "2009-01-19" " os paralamas do sucesso a lhe esperar " 18 "A" "E" "os paralamas do sucesso"
