"date" "music" "popul" "chord" "key" "artist"
"1" NA " pitty 20 passos " NA "E" "E" "pitty"
"2" NA " pitty 20 passos " NA "C7m" "E" "pitty"
"3" NA " pitty 20 passos " NA "E" "E" "pitty"
"4" NA " pitty 20 passos " NA "C7m" "E" "pitty"
"5" NA " pitty 20 passos " NA "A" "E" "pitty"
"6" NA " pitty 20 passos " NA "E" "E" "pitty"
"7" NA " pitty 20 passos " NA "A" "E" "pitty"
"8" NA " pitty 20 passos " NA "A9" "E" "pitty"
"9" NA " pitty 20 passos " NA "E" "E" "pitty"
"10" "2014-06-03" " pitty a massa " 31 "B5" "E" "pitty"
"11" "2014-06-03" " pitty a massa " 31 "B5" "E" "pitty"
"12" "2014-06-03" " pitty a massa " 31 "G#5" "E" "pitty"
"13" "2014-06-03" " pitty a massa " 31 "A5" "E" "pitty"
"14" "2014-06-03" " pitty a massa " 31 "B5" "E" "pitty"
"15" "2014-06-03" " pitty a massa " 31 "B5" "E" "pitty"
"16" "2014-06-03" " pitty a massa " 31 "G#5" "E" "pitty"
"17" "2014-06-03" " pitty a massa " 31 "A5" "E" "pitty"
"18" "2014-06-03" " pitty a massa " 31 "D" "E" "pitty"
"19" "2014-06-03" " pitty a massa " 31 "F#5" "E" "pitty"
"20" "2014-06-03" " pitty a massa " 31 "E5" "E" "pitty"
"21" "2014-06-03" " pitty a massa " 31 "D" "E" "pitty"
"22" "2014-06-03" " pitty a massa " 31 "F#5" "E" "pitty"
"23" "2014-06-03" " pitty a massa " 31 "E" "E" "pitty"
"24" "2014-06-03" " pitty a massa " 31 "D5" "E" "pitty"
"25" "2014-06-03" " pitty a massa " 31 "D#5" "E" "pitty"
"26" "2014-06-03" " pitty a massa " 31 "E5" "E" "pitty"
"27" "2014-06-03" " pitty a massa " 31 "B5" "E" "pitty"
"28" "2014-06-03" " pitty a massa " 31 "B5" "E" "pitty"
"29" "2014-06-03" " pitty a massa " 31 "D" "E" "pitty"
"30" "2014-06-03" " pitty a massa " 31 "F#5" "E" "pitty"
"31" "2014-06-03" " pitty a massa " 31 "E5" "E" "pitty"
"32" "2014-06-03" " pitty a massa " 31 "D" "E" "pitty"
"33" "2014-06-03" " pitty a massa " 31 "F#5" "E" "pitty"
"34" "2014-06-03" " pitty a massa " 31 "E" "E" "pitty"
"35" "2014-06-03" " pitty a massa " 31 "D5" "E" "pitty"
"36" "2014-06-03" " pitty a massa " 31 "D#5" "E" "pitty"
"37" "2014-06-03" " pitty a massa " 31 "E5" "E" "pitty"
"38" "2014-06-03" " pitty a massa " 31 "F#m" "E" "pitty"
"39" "2014-06-03" " pitty a massa " 31 "D" "E" "pitty"
"40" "2014-06-03" " pitty a massa " 31 "F#5" "E" "pitty"
"41" "2014-06-03" " pitty a massa " 31 "E5" "E" "pitty"
"42" "2014-06-03" " pitty a massa " 31 "D" "E" "pitty"
"43" "2014-06-03" " pitty a massa " 31 "F#5" "E" "pitty"
"44" "2014-06-03" " pitty a massa " 31 "E" "E" "pitty"
"45" "2014-06-03" " pitty a massa " 31 "D" "E" "pitty"
"46" "2014-06-03" " pitty a massa " 31 "F#5" "E" "pitty"
"47" "2014-06-03" " pitty a massa " 31 "E" "E" "pitty"
"48" "2014-06-03" " pitty a massa " 31 "D5" "E" "pitty"
"49" "2014-06-03" " pitty a massa " 31 "D#5" "E" "pitty"
"50" "2014-06-03" " pitty a massa " 31 "E5" "E" "pitty"
"51" NA " pitty a nave interior " NA "F" "C" "pitty"
"52" NA " pitty a nave interior " NA "G" "C" "pitty"
"53" NA " pitty a nave interior " NA "F" "C" "pitty"
"54" NA " pitty a nave interior " NA "Fm" "C" "pitty"
"55" NA " pitty a nave interior " NA "C" "C" "pitty"
"56" NA " pitty a nave interior " NA "G" "C" "pitty"
"57" NA " pitty a nave interior " NA "C" "C" "pitty"
"58" NA " pitty a nave interior " NA "G" "C" "pitty"
"59" NA " pitty a nave interior " NA "Am" "C" "pitty"
"60" NA " pitty a nave interior " NA "Am7" "C" "pitty"
"61" NA " pitty a nave interior " NA "F" "C" "pitty"
"62" NA " pitty a nave interior " NA "A7" "C" "pitty"
"63" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"64" NA " pitty a nave interior " NA "Dm/C" "C" "pitty"
"65" NA " pitty a nave interior " NA "G" "C" "pitty"
"66" NA " pitty a nave interior " NA "Am" "C" "pitty"
"67" NA " pitty a nave interior " NA "Am7" "C" "pitty"
"68" NA " pitty a nave interior " NA "D/F#" "C" "pitty"
"69" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"70" NA " pitty a nave interior " NA "G" "C" "pitty"
"71" NA " pitty a nave interior " NA "C" "C" "pitty"
"72" NA " pitty a nave interior " NA "G" "C" "pitty"
"73" NA " pitty a nave interior " NA "Am" "C" "pitty"
"74" NA " pitty a nave interior " NA "Am7" "C" "pitty"
"75" NA " pitty a nave interior " NA "F" "C" "pitty"
"76" NA " pitty a nave interior " NA "A7" "C" "pitty"
"77" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"78" NA " pitty a nave interior " NA "Dm/C" "C" "pitty"
"79" NA " pitty a nave interior " NA "G" "C" "pitty"
"80" NA " pitty a nave interior " NA "Am" "C" "pitty"
"81" NA " pitty a nave interior " NA "Am7" "C" "pitty"
"82" NA " pitty a nave interior " NA "D/F#" "C" "pitty"
"83" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"84" NA " pitty a nave interior " NA "G" "C" "pitty"
"85" NA " pitty a nave interior " NA "C" "C" "pitty"
"86" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"87" NA " pitty a nave interior " NA "G" "C" "pitty"
"88" NA " pitty a nave interior " NA "C" "C" "pitty"
"89" NA " pitty a nave interior " NA "C7" "C" "pitty"
"90" NA " pitty a nave interior " NA "F" "C" "pitty"
"91" NA " pitty a nave interior " NA "G" "C" "pitty"
"92" NA " pitty a nave interior " NA "Em" "C" "pitty"
"93" NA " pitty a nave interior " NA "Am" "C" "pitty"
"94" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"95" NA " pitty a nave interior " NA "G7" "C" "pitty"
"96" NA " pitty a nave interior " NA "F" "C" "pitty"
"97" NA " pitty a nave interior " NA "Fm" "C" "pitty"
"98" NA " pitty a nave interior " NA "C" "C" "pitty"
"99" NA " pitty a nave interior " NA "F" "C" "pitty"
"100" NA " pitty a nave interior " NA "G" "C" "pitty"
"101" NA " pitty a nave interior " NA "F" "C" "pitty"
"102" NA " pitty a nave interior " NA "Fm" "C" "pitty"
"103" NA " pitty a nave interior " NA "C" "C" "pitty"
"104" NA " pitty a nave interior " NA "C" "C" "pitty"
"105" NA " pitty a nave interior " NA "G" "C" "pitty"
"106" NA " pitty a nave interior " NA "Am" "C" "pitty"
"107" NA " pitty a nave interior " NA "Am7" "C" "pitty"
"108" NA " pitty a nave interior " NA "F" "C" "pitty"
"109" NA " pitty a nave interior " NA "A7" "C" "pitty"
"110" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"111" NA " pitty a nave interior " NA "Dm/C" "C" "pitty"
"112" NA " pitty a nave interior " NA "G" "C" "pitty"
"113" NA " pitty a nave interior " NA "Am" "C" "pitty"
"114" NA " pitty a nave interior " NA "Am7" "C" "pitty"
"115" NA " pitty a nave interior " NA "D/F#" "C" "pitty"
"116" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"117" NA " pitty a nave interior " NA "G" "C" "pitty"
"118" NA " pitty a nave interior " NA "C" "C" "pitty"
"119" NA " pitty a nave interior " NA "G" "C" "pitty"
"120" NA " pitty a nave interior " NA "Am" "C" "pitty"
"121" NA " pitty a nave interior " NA "Am7" "C" "pitty"
"122" NA " pitty a nave interior " NA "F" "C" "pitty"
"123" NA " pitty a nave interior " NA "A7" "C" "pitty"
"124" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"125" NA " pitty a nave interior " NA "Dm/C" "C" "pitty"
"126" NA " pitty a nave interior " NA "G" "C" "pitty"
"127" NA " pitty a nave interior " NA "Am" "C" "pitty"
"128" NA " pitty a nave interior " NA "Am7" "C" "pitty"
"129" NA " pitty a nave interior " NA "D/F#" "C" "pitty"
"130" NA " pitty a nave interior " NA "Dm" "C" "pitty"
"131" NA " pitty a nave interior " NA "G" "C" "pitty"
"132" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"133" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"134" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"135" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"136" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"137" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"138" "2005-08-08" " pitty a saideira " 28 "D5" "B" "pitty"
"139" "2005-08-08" " pitty a saideira " 28 "D5" "B" "pitty"
"140" "2005-08-08" " pitty a saideira " 28 "D5" "B" "pitty"
"141" "2005-08-08" " pitty a saideira " 28 "D5" "B" "pitty"
"142" "2005-08-08" " pitty a saideira " 28 "C#5" "B" "pitty"
"143" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"144" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"145" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"146" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"147" "2005-08-08" " pitty a saideira " 28 "E" "B" "pitty"
"148" "2005-08-08" " pitty a saideira " 28 "E" "B" "pitty"
"149" "2005-08-08" " pitty a saideira " 28 "F#5" "B" "pitty"
"150" "2005-08-08" " pitty a saideira " 28 "C#5" "B" "pitty"
"151" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"152" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"153" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"154" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"155" "2005-08-08" " pitty a saideira " 28 "D#5" "B" "pitty"
"156" "2005-08-08" " pitty a saideira " 28 "D5" "B" "pitty"
"157" "2005-08-08" " pitty a saideira " 28 "D#5" "B" "pitty"
"158" "2005-08-08" " pitty a saideira " 28 "D5" "B" "pitty"
"159" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"160" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"161" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"162" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"163" "2005-08-08" " pitty a saideira " 28 "D#5" "B" "pitty"
"164" "2005-08-08" " pitty a saideira " 28 "D5" "B" "pitty"
"165" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"166" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"167" "2005-08-08" " pitty a saideira " 28 "D#5" "B" "pitty"
"168" "2005-08-08" " pitty a saideira " 28 "D5" "B" "pitty"
"169" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"170" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"171" "2005-08-08" " pitty a saideira " 28 "B5" "B" "pitty"
"172" "2005-08-08" " pitty a saideira " 28 "A#5" "B" "pitty"
"173" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"174" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"175" "2009-08-01" " pitty a sombra " 26 "Gm" "F" "pitty"
"176" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"177" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"178" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"179" "2009-08-01" " pitty a sombra " 26 "Am" "F" "pitty"
"180" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"181" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"182" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"183" "2009-08-01" " pitty a sombra " 26 "Gm" "F" "pitty"
"184" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"185" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"186" "2009-08-01" " pitty a sombra " 26 "Am" "F" "pitty"
"187" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"188" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"189" "2009-08-01" " pitty a sombra " 26 "Gm" "F" "pitty"
"190" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"191" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"192" "2009-08-01" " pitty a sombra " 26 "Am" "F" "pitty"
"193" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"194" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"195" "2009-08-01" " pitty a sombra " 26 "Gm" "F" "pitty"
"196" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"197" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"198" "2009-08-01" " pitty a sombra " 26 "Am" "F" "pitty"
"199" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"200" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"201" "2009-08-01" " pitty a sombra " 26 "Am" "F" "pitty"
"202" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"203" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"204" "2009-08-01" " pitty a sombra " 26 "Gm" "F" "pitty"
"205" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"206" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
"207" "2009-08-01" " pitty a sombra " 26 "Am" "F" "pitty"
"208" "2009-08-01" " pitty a sombra " 26 "Dm" "F" "pitty"
"209" "2009-08-01" " pitty a sombra " 26 "Bb" "F" "pitty"
