"date","music","popul","chord","key","artist"
"1",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"2",5," raul seixas a beira do pantanal ",23,"D/A","A","raul seixas"
"3",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"4",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"5",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"6",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"7",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"8",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"9",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"10",5," raul seixas a beira do pantanal ",23,"G","A","raul seixas"
"11",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"12",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"13",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"14",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"15",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"16",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"17",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"18",5," raul seixas a beira do pantanal ",23,"G","A","raul seixas"
"19",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"20",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"21",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"22",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"23",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"24",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"25",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"26",5," raul seixas a beira do pantanal ",23,"G","A","raul seixas"
"27",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"28",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"29",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"30",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"31",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"32",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"33",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"34",5," raul seixas a beira do pantanal ",23,"Bm","A","raul seixas"
"35",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"36",5," raul seixas a beira do pantanal ",23,"G","A","raul seixas"
"37",5," raul seixas a beira do pantanal ",23,"D","A","raul seixas"
"38",5," raul seixas a beira do pantanal ",23,"B7","A","raul seixas"
"39",5," raul seixas a beira do pantanal ",23,"E","A","raul seixas"
"40",5," raul seixas a beira do pantanal ",23,"C#m","A","raul seixas"
