"date","music","popul","chord","key","artist"
"1",22," rita lee 2001 ",10,"E","E","rita lee"
"2",22," rita lee 2001 ",10,"G","E","rita lee"
"3",22," rita lee 2001 ",10,"A","E","rita lee"
"4",22," rita lee 2001 ",10,"E","E","rita lee"
"5",22," rita lee 2001 ",10,"G","E","rita lee"
"6",22," rita lee 2001 ",10,"A","E","rita lee"
"7",22," rita lee 2001 ",10,"E","E","rita lee"
"8",22," rita lee 2001 ",10,"G","E","rita lee"
"9",22," rita lee 2001 ",10,"A","E","rita lee"
"10",22," rita lee 2001 ",10,"E","E","rita lee"
"11",22," rita lee 2001 ",10,"G","E","rita lee"
"12",22," rita lee 2001 ",10,"A","E","rita lee"
"13",22," rita lee 2001 ",10,"E","E","rita lee"
"14",22," rita lee 2001 ",10,"G#","E","rita lee"
"15",22," rita lee 2001 ",10,"C#m","E","rita lee"
"16",22," rita lee 2001 ",10,"G#","E","rita lee"
"17",22," rita lee 2001 ",10,"C#m","E","rita lee"
"18",22," rita lee 2001 ",10,"G","E","rita lee"
"19",22," rita lee 2001 ",10,"C","E","rita lee"
"20",22," rita lee 2001 ",10,"B","E","rita lee"
"21",22," rita lee 2001 ",10,"E","E","rita lee"
"22",22," rita lee 2001 ",10,"G#","E","rita lee"
"23",22," rita lee 2001 ",10,"C#m","E","rita lee"
"24",22," rita lee 2001 ",10,"G#","E","rita lee"
"25",22," rita lee 2001 ",10,"C#m","E","rita lee"
"26",22," rita lee 2001 ",10,"G","E","rita lee"
"27",22," rita lee 2001 ",10,"C","E","rita lee"
"28",22," rita lee 2001 ",10,"B","E","rita lee"
"29",22," rita lee 2001 ",10,"E","E","rita lee"
"30",22," rita lee 2001 ",10,"D","E","rita lee"
"31",22," rita lee 2001 ",10,"C","E","rita lee"
"32",22," rita lee 2001 ",10,"B","E","rita lee"
"33",23," rita lee a gripe do amor ",18,"C7M","F","rita lee"
"34",23," rita lee a gripe do amor ",18,"C°","F","rita lee"
"35",23," rita lee a gripe do amor ",18,"Em7(b5)","F","rita lee"
"36",23," rita lee a gripe do amor ",18,"A7","F","rita lee"
"37",23," rita lee a gripe do amor ",18,"Dm7","F","rita lee"
"38",23," rita lee a gripe do amor ",18,"Fm6","F","rita lee"
"39",23," rita lee a gripe do amor ",18,"Bb7","F","rita lee"
"40",23," rita lee a gripe do amor ",18,"Em7","F","rita lee"
"41",23," rita lee a gripe do amor ",18,"Gm7","F","rita lee"
"42",23," rita lee a gripe do amor ",18,"C7(9)","F","rita lee"
"43",23," rita lee a gripe do amor ",18,"F7M","F","rita lee"
"44",23," rita lee a gripe do amor ",18,"Fm6","F","rita lee"
"45",23," rita lee a gripe do amor ",18,"Em7","F","rita lee"
"46",23," rita lee a gripe do amor ",18,"Eb°","F","rita lee"
"47",23," rita lee a gripe do amor ",18,"Dm7","F","rita lee"
"48",23," rita lee a gripe do amor ",18,"G7","F","rita lee"
"49",23," rita lee a gripe do amor ",18,"C7M","F","rita lee"
"50",23," rita lee a gripe do amor ",18,"C°","F","rita lee"
"51",23," rita lee a gripe do amor ",18,"Em7(b5)","F","rita lee"
"52",23," rita lee a gripe do amor ",18,"A7","F","rita lee"
"53",23," rita lee a gripe do amor ",18,"Dm7","F","rita lee"
"54",23," rita lee a gripe do amor ",18,"Fm6","F","rita lee"
"55",23," rita lee a gripe do amor ",18,"Bb7","F","rita lee"
"56",23," rita lee a gripe do amor ",18,"Em7","F","rita lee"
"57",23," rita lee a gripe do amor ",18,"Gm7","F","rita lee"
"58",23," rita lee a gripe do amor ",18,"C7(9)","F","rita lee"
"59",23," rita lee a gripe do amor ",18,"F7M","F","rita lee"
"60",23," rita lee a gripe do amor ",18,"Fm6","F","rita lee"
"61",23," rita lee a gripe do amor ",18,"Em7","F","rita lee"
"62",23," rita lee a gripe do amor ",18,"A7","F","rita lee"
"63",23," rita lee a gripe do amor ",18,"Dm7","F","rita lee"
"64",23," rita lee a gripe do amor ",18,"G7","F","rita lee"
"65",23," rita lee a gripe do amor ",18,"Gm7","F","rita lee"
"66",23," rita lee a gripe do amor ",18,"C7(9)","F","rita lee"
"67",23," rita lee a gripe do amor ",18,"G#6","F","rita lee"
"68",23," rita lee a gripe do amor ",18,"G#7","F","rita lee"
"69",23," rita lee a gripe do amor ",18,"C#7M","F","rita lee"
"70",23," rita lee a gripe do amor ",18,"C#7M","F","rita lee"
"71",23," rita lee a gripe do amor ",18,"C#°","F","rita lee"
"72",23," rita lee a gripe do amor ",18,"Fm7(b5)","F","rita lee"
"73",23," rita lee a gripe do amor ",18,"A#7","F","rita lee"
"74",23," rita lee a gripe do amor ",18,"D#m7","F","rita lee"
"75",23," rita lee a gripe do amor ",18,"F#m6","F","rita lee"
"76",23," rita lee a gripe do amor ",18,"B7","F","rita lee"
"77",23," rita lee a gripe do amor ",18,"Fm7","F","rita lee"
"78",23," rita lee a gripe do amor ",18,"G#m7","F","rita lee"
"79",23," rita lee a gripe do amor ",18,"C#7(9)","F","rita lee"
"80",23," rita lee a gripe do amor ",18,"F#7M","F","rita lee"
"81",23," rita lee a gripe do amor ",18,"F#m6","F","rita lee"
"82",23," rita lee a gripe do amor ",18,"Fm7","F","rita lee"
"83",23," rita lee a gripe do amor ",18,"Bb7","F","rita lee"
"84",23," rita lee a gripe do amor ",18,"D#m7","F","rita lee"
"85",23," rita lee a gripe do amor ",18,"G#7","F","rita lee"
"86",23," rita lee a gripe do amor ",18,"G#m7","F","rita lee"
"87",23," rita lee a gripe do amor ",18,"C7(9)","F","rita lee"
