"date" "music" "popul" "chord" "key" "artist"
"1" "2000-01-01" " rita lee 2001 " 12 "E" "E" "rita lee"
"2" "2000-01-01" " rita lee 2001 " 12 "G" "E" "rita lee"
"3" "2000-01-01" " rita lee 2001 " 12 "A" "E" "rita lee"
"4" "2000-01-01" " rita lee 2001 " 12 "E" "E" "rita lee"
"5" "2000-01-01" " rita lee 2001 " 12 "G" "E" "rita lee"
"6" "2000-01-01" " rita lee 2001 " 12 "A" "E" "rita lee"
"7" "2000-01-01" " rita lee 2001 " 12 "E" "E" "rita lee"
"8" "2000-01-01" " rita lee 2001 " 12 "G" "E" "rita lee"
"9" "2000-01-01" " rita lee 2001 " 12 "A" "E" "rita lee"
"10" "2000-01-01" " rita lee 2001 " 12 "E" "E" "rita lee"
"11" "2000-01-01" " rita lee 2001 " 12 "G" "E" "rita lee"
"12" "2000-01-01" " rita lee 2001 " 12 "A" "E" "rita lee"
"13" "2000-01-01" " rita lee 2001 " 12 "E" "E" "rita lee"
"14" "2000-01-01" " rita lee 2001 " 12 "G#" "E" "rita lee"
"15" "2000-01-01" " rita lee 2001 " 12 "C#m" "E" "rita lee"
"16" "2000-01-01" " rita lee 2001 " 12 "G#" "E" "rita lee"
"17" "2000-01-01" " rita lee 2001 " 12 "C#m" "E" "rita lee"
"18" "2000-01-01" " rita lee 2001 " 12 "G" "E" "rita lee"
"19" "2000-01-01" " rita lee 2001 " 12 "C" "E" "rita lee"
"20" "2000-01-01" " rita lee 2001 " 12 "B" "E" "rita lee"
"21" "2000-01-01" " rita lee 2001 " 12 "E" "E" "rita lee"
"22" "2000-01-01" " rita lee 2001 " 12 "G#" "E" "rita lee"
"23" "2000-01-01" " rita lee 2001 " 12 "C#m" "E" "rita lee"
"24" "2000-01-01" " rita lee 2001 " 12 "G#" "E" "rita lee"
"25" "2000-01-01" " rita lee 2001 " 12 "C#m" "E" "rita lee"
"26" "2000-01-01" " rita lee 2001 " 12 "G" "E" "rita lee"
"27" "2000-01-01" " rita lee 2001 " 12 "C" "E" "rita lee"
"28" "2000-01-01" " rita lee 2001 " 12 "B" "E" "rita lee"
"29" "2000-01-01" " rita lee 2001 " 12 "E" "E" "rita lee"
"30" "2000-01-01" " rita lee 2001 " 12 "D" "E" "rita lee"
"31" "2000-01-01" " rita lee 2001 " 12 "C" "E" "rita lee"
"32" "2000-01-01" " rita lee 2001 " 12 "B" "E" "rita lee"
"33" "2003" " rita lee a gripe do amor " 20 "C7M" "F" "rita lee"
"34" "2003" " rita lee a gripe do amor " 20 "Cdim" "F" "rita lee"
"35" "2003" " rita lee a gripe do amor " 20 "Em7(b5)" "F" "rita lee"
"36" "2003" " rita lee a gripe do amor " 20 "A7" "F" "rita lee"
"37" "2003" " rita lee a gripe do amor " 20 "Dm7" "F" "rita lee"
