"date","music","popul","chord","key","artist"
"1",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"2",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"3",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"4",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"5",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"6",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"7",3," roberta campos a sua volta ",22,"B","E","roberta campos"
"8",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"9",3," roberta campos a sua volta ",22,"B","E","roberta campos"
"10",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"11",3," roberta campos a sua volta ",22,"B","E","roberta campos"
"12",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"13",3," roberta campos a sua volta ",22,"B","E","roberta campos"
"14",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"15",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"16",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"17",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"18",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"19",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"20",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"21",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"22",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"23",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"24",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"25",3," roberta campos a sua volta ",22,"B","E","roberta campos"
"26",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"27",3," roberta campos a sua volta ",22,"B","E","roberta campos"
"28",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"29",3," roberta campos a sua volta ",22,"B","E","roberta campos"
"30",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"31",3," roberta campos a sua volta ",22,"B","E","roberta campos"
"32",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"33",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"34",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"35",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"36",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"37",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"38",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"39",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"40",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"41",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"42",3," roberta campos a sua volta ",22,"A","E","roberta campos"
"43",3," roberta campos a sua volta ",22,"E","E","roberta campos"
"44",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
"45",5," roberta campos abra a porta ",29,"A#","A#","roberta campos"
"46",5," roberta campos abra a porta ",29,"C#","A#","roberta campos"
"47",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
"48",5," roberta campos abra a porta ",29,"G#","A#","roberta campos"
"49",5," roberta campos abra a porta ",29,"C#","A#","roberta campos"
"50",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
"51",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
"52",5," roberta campos abra a porta ",29,"G#","A#","roberta campos"
"53",5," roberta campos abra a porta ",29,"C#","A#","roberta campos"
"54",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
"55",5," roberta campos abra a porta ",29,"G#","A#","roberta campos"
"56",5," roberta campos abra a porta ",29,"D#","A#","roberta campos"
"57",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
"58",5," roberta campos abra a porta ",29,"G#","A#","roberta campos"
"59",5," roberta campos abra a porta ",29,"D#","A#","roberta campos"
"60",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
"61",5," roberta campos abra a porta ",29,"G#","A#","roberta campos"
"62",5," roberta campos abra a porta ",29,"D#","A#","roberta campos"
"63",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
"64",5," roberta campos abra a porta ",29,"Bb","A#","roberta campos"
