"date","music","popul","chord","key","artist"
"1",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"2",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"3",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"4",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"5",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"6",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"7",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"8",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"9",NA," seu jorge a carne ",NA,"C","C","seu jorge"
"10",NA," seu jorge a carne ",NA,"G","C","seu jorge"
"11",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"12",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"13",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"14",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"15",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"16",NA," seu jorge a carne ",NA,"C","C","seu jorge"
"17",NA," seu jorge a carne ",NA,"F","C","seu jorge"
"18",NA," seu jorge a carne ",NA,"E7","C","seu jorge"
"19",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"20",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"21",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"22",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"23",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"24",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"25",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"26",NA," seu jorge a carne ",NA,"C","C","seu jorge"
"27",NA," seu jorge a carne ",NA,"F","C","seu jorge"
"28",NA," seu jorge a carne ",NA,"E7","C","seu jorge"
"29",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"30",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"31",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"32",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"33",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"34",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"35",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"36",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"37",NA," seu jorge a carne ",NA,"C","C","seu jorge"
"38",NA," seu jorge a carne ",NA,"G","C","seu jorge"
"39",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"40",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"41",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"42",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"43",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"44",NA," seu jorge a carne ",NA,"C","C","seu jorge"
"45",NA," seu jorge a carne ",NA,"F","C","seu jorge"
"46",NA," seu jorge a carne ",NA,"E7","C","seu jorge"
"47",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"48",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"49",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"50",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"51",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"52",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"53",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"54",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"55",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"56",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"57",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"58",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"59",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"60",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"61",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"62",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"63",NA," seu jorge a carne ",NA,"F","C","seu jorge"
"64",NA," seu jorge a carne ",NA,"G7","C","seu jorge"
"65",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"66",NA," seu jorge a carne ",NA,"Am/G","C","seu jorge"
"67",NA," seu jorge a carne ",NA,"F","C","seu jorge"
"68",NA," seu jorge a carne ",NA,"G7","C","seu jorge"
"69",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"70",NA," seu jorge a carne ",NA,"Am/G","C","seu jorge"
"71",NA," seu jorge a carne ",NA,"F","C","seu jorge"
"72",NA," seu jorge a carne ",NA,"G7","C","seu jorge"
"73",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"74",NA," seu jorge a carne ",NA,"Am/G","C","seu jorge"
"75",NA," seu jorge a carne ",NA,"F","C","seu jorge"
"76",NA," seu jorge a carne ",NA,"G7","C","seu jorge"
"77",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"78",NA," seu jorge a carne ",NA,"C","C","seu jorge"
"79",NA," seu jorge a carne ",NA,"F","C","seu jorge"
"80",NA," seu jorge a carne ",NA,"E7","C","seu jorge"
"81",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"82",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"83",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"84",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"85",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
"86",NA," seu jorge a carne ",NA,"Em","C","seu jorge"
"87",NA," seu jorge a carne ",NA,"Am","C","seu jorge"
