"date","music","popul","chord","key","artist"
"1",25," simone a bicicleta ",16,"G","C","simone"
"2",25," simone a bicicleta ",16,"G7","C","simone"
"3",25," simone a bicicleta ",16,"C7+","C","simone"
"4",25," simone a bicicleta ",16,"C#º","C","simone"
"5",25," simone a bicicleta ",16,"Bm","C","simone"
"6",25," simone a bicicleta ",16,"E7","C","simone"
"7",25," simone a bicicleta ",16,"Am","C","simone"
"8",25," simone a bicicleta ",16,"D7","C","simone"
"9",25," simone a bicicleta ",16,"G","C","simone"
"10",25," simone a bicicleta ",16,"D7","C","simone"
"11",25," simone a bicicleta ",16,"Bm","C","simone"
"12",25," simone a bicicleta ",16,"E7","C","simone"
"13",25," simone a bicicleta ",16,"Am","C","simone"
"14",25," simone a bicicleta ",16,"D7","C","simone"
"15",25," simone a bicicleta ",16,"G","C","simone"
"16",25," simone a bicicleta ",16,"D7","C","simone"
"17",25," simone a bicicleta ",16,"G","C","simone"
"18",25," simone a bicicleta ",16,"Bm","C","simone"
"19",25," simone a bicicleta ",16,"Bbº","C","simone"
"20",25," simone a bicicleta ",16,"Am","C","simone"
"21",25," simone a bicicleta ",16,"D7","C","simone"
"22",25," simone a bicicleta ",16,"Am","C","simone"
"23",25," simone a bicicleta ",16,"D7","C","simone"
"24",25," simone a bicicleta ",16,"G","C","simone"
"25",25," simone a bicicleta ",16,"D7","C","simone"
"26",25," simone a bicicleta ",16,"G","C","simone"
"27",25," simone a bicicleta ",16,"Bm","C","simone"
"28",25," simone a bicicleta ",16,"Bbº","C","simone"
"29",25," simone a bicicleta ",16,"Am","C","simone"
"30",25," simone a bicicleta ",16,"D7","C","simone"
"31",25," simone a bicicleta ",16,"Am","C","simone"
"32",25," simone a bicicleta ",16,"D7","C","simone"
"33",25," simone a bicicleta ",16,"G","C","simone"
"34",25," simone a bicicleta ",16,"Am","C","simone"
"35",25," simone a bicicleta ",16,"Bm","C","simone"
"36",25," simone a bicicleta ",16,"G7","C","simone"
"37",25," simone a bicicleta ",16,"C","C","simone"
"38",25," simone a bicicleta ",16,"D/C","C","simone"
"39",25," simone a bicicleta ",16,"G/B","C","simone"
"40",25," simone a bicicleta ",16,"Em","C","simone"
"41",25," simone a bicicleta ",16,"C#m","C","simone"
"42",25," simone a bicicleta ",16,"F#7","C","simone"
"43",25," simone a bicicleta ",16,"Bm","C","simone"
"44",25," simone a bicicleta ",16,"Bbm","C","simone"
"45",25," simone a bicicleta ",16,"Am","C","simone"
"46",25," simone a bicicleta ",16,"D7","C","simone"
"47",25," simone a bicicleta ",16,"Bm","C","simone"
"48",25," simone a bicicleta ",16,"E7","C","simone"
"49",25," simone a bicicleta ",16,"Am","C","simone"
"50",25," simone a bicicleta ",16,"D7","C","simone"
"51",25," simone a bicicleta ",16,"G","C","simone"
"52",25," simone a bicicleta ",16,"D7","C","simone"
"53",25," simone a bicicleta ",16,"G","C","simone"
"54",25," simone a bicicleta ",16,"Bm","C","simone"
"55",25," simone a bicicleta ",16,"Bbº","C","simone"
"56",25," simone a bicicleta ",16,"Am","C","simone"
"57",25," simone a bicicleta ",16,"D7","C","simone"
"58",25," simone a bicicleta ",16,"Am","C","simone"
"59",25," simone a bicicleta ",16,"D7","C","simone"
"60",25," simone a bicicleta ",16,"G","C","simone"
"61",25," simone a bicicleta ",16,"D7","C","simone"
"62",25," simone a bicicleta ",16,"G","C","simone"
"63",25," simone a bicicleta ",16,"Bm","C","simone"
"64",25," simone a bicicleta ",16,"Bbº","C","simone"
"65",25," simone a bicicleta ",16,"Am","C","simone"
"66",25," simone a bicicleta ",16,"D7","C","simone"
"67",25," simone a bicicleta ",16,"Am","C","simone"
"68",25," simone a bicicleta ",16,"D7","C","simone"
"69",25," simone a bicicleta ",16,"G","C","simone"
"70",25," simone a bicicleta ",16,"Am","C","simone"
"71",25," simone a bicicleta ",16,"Bm","C","simone"
"72",25," simone a bicicleta ",16,"G7","C","simone"
"73",25," simone a bicicleta ",16,"C","C","simone"
"74",25," simone a bicicleta ",16,"D/C","C","simone"
"75",25," simone a bicicleta ",16,"G/B","C","simone"
"76",25," simone a bicicleta ",16,"Em","C","simone"
"77",25," simone a bicicleta ",16,"C#m","C","simone"
"78",25," simone a bicicleta ",16,"F#7","C","simone"
"79",25," simone a bicicleta ",16,"Bm","C","simone"
"80",25," simone a bicicleta ",16,"Bbm","C","simone"
"81",25," simone a bicicleta ",16,"Am","C","simone"
"82",25," simone a bicicleta ",16,"D7","C","simone"
"83",25," simone a bicicleta ",16,"Bm","C","simone"
"84",25," simone a bicicleta ",16,"E7","C","simone"
"85",25," simone a bicicleta ",16,"Am","C","simone"
"86",25," simone a bicicleta ",16,"D7","C","simone"
"87",25," simone a bicicleta ",16,"G","C","simone"
"88",25," simone a bicicleta ",16,"D7","C","simone"
"89",25," simone a bicicleta ",16,"Cm","C","simone"
"90",25," simone a bicicleta ",16,"F7","C","simone"
"91",25," simone a bicicleta ",16,"Bbm","C","simone"
"92",25," simone a bicicleta ",16,"Eb7","C","simone"
"93",25," simone a bicicleta ",16,"Ab","C","simone"
"94",25," simone a bicicleta ",16,"Ab","C","simone"
"95",25," simone a bicicleta ",16,"Cm","C","simone"
"96",25," simone a bicicleta ",16,"Bbº","C","simone"
"97",25," simone a bicicleta ",16,"Bbm","C","simone"
"98",25," simone a bicicleta ",16,"Eb7","C","simone"
"99",25," simone a bicicleta ",16,"Bbm","C","simone"
"100",25," simone a bicicleta ",16,"Eb7","C","simone"
"101",25," simone a bicicleta ",16,"Ab","C","simone"
"102",25," simone a bicicleta ",16,"Eb7","C","simone"
"103",25," simone a bicicleta ",16,"Ab","C","simone"
"104",25," simone a bicicleta ",16,"Cm","C","simone"
"105",25," simone a bicicleta ",16,"Bbº","C","simone"
"106",25," simone a bicicleta ",16,"Bbm","C","simone"
"107",25," simone a bicicleta ",16,"Eb7","C","simone"
"108",25," simone a bicicleta ",16,"Bbm","C","simone"
"109",25," simone a bicicleta ",16,"Eb7","C","simone"
"110",25," simone a bicicleta ",16,"Ab","C","simone"
"111",25," simone a bicicleta ",16,"Bbm","C","simone"
"112",25," simone a bicicleta ",16,"Cm","C","simone"
"113",25," simone a bicicleta ",16,"Ab7","C","simone"
"114",25," simone a bicicleta ",16,"Db","C","simone"
"115",25," simone a bicicleta ",16,"Eb/Db","C","simone"
"116",25," simone a bicicleta ",16,"Ab/C","C","simone"
"117",25," simone a bicicleta ",16,"Fm","C","simone"
"118",25," simone a bicicleta ",16,"Dm","C","simone"
"119",25," simone a bicicleta ",16,"G7","C","simone"
"120",25," simone a bicicleta ",16,"Cm","C","simone"
"121",25," simone a bicicleta ",16,"Bm","C","simone"
"122",25," simone a bicicleta ",16,"Bbm","C","simone"
"123",25," simone a bicicleta ",16,"Eb7","C","simone"
"124",25," simone a bicicleta ",16,"Cm","C","simone"
"125",25," simone a bicicleta ",16,"F7","C","simone"
"126",25," simone a bicicleta ",16,"Bbm","C","simone"
"127",25," simone a bicicleta ",16,"Eb7","C","simone"
"128",25," simone a bicicleta ",16,"Ab","C","simone"
"129",NA," simone a distancia ",NA,"Ebm7","F#","simone"
"130",NA," simone a distancia ",NA,"Abm7","F#","simone"
"131",NA," simone a distancia ",NA,"Db7","F#","simone"
"132",NA," simone a distancia ",NA,"Gb","F#","simone"
"133",NA," simone a distancia ",NA,"Bb7(b13)","F#","simone"
"134",NA," simone a distancia ",NA,"Ebm7","F#","simone"
"135",NA," simone a distancia ",NA,"Abm7","F#","simone"
"136",NA," simone a distancia ",NA,"Abm7/Gb","F#","simone"
"137",NA," simone a distancia ",NA,"Fm7(b5)","F#","simone"
"138",NA," simone a distancia ",NA,"Bb7(4)","F#","simone"
"139",NA," simone a distancia ",NA,"Bb7","F#","simone"
"140",NA," simone a distancia ",NA,"Eb","F#","simone"
"141",NA," simone a distancia ",NA,"Gm","F#","simone"
"142",NA," simone a distancia ",NA,"Fm","F#","simone"
"143",NA," simone a distancia ",NA,"C7(4)","F#","simone"
"144",NA," simone a distancia ",NA,"C7","F#","simone"
"145",NA," simone a distancia ",NA,"Fm","F#","simone"
"146",NA," simone a distancia ",NA,"Bb7(4)","F#","simone"
"147",NA," simone a distancia ",NA,"Bb7","F#","simone"
"148",NA," simone a distancia ",NA,"Eb/Bb","F#","simone"
"149",NA," simone a distancia ",NA,"Bb7(9)(11)","F#","simone"
"150",NA," simone a distancia ",NA,"Eb","F#","simone"
"151",NA," simone a distancia ",NA,"Gm","F#","simone"
"152",NA," simone a distancia ",NA,"Ab","F#","simone"
"153",NA," simone a distancia ",NA,"Abm6","F#","simone"
"154",NA," simone a distancia ",NA,"Eb/Bb","F#","simone"
"155",NA," simone a distancia ",NA,"Bb7(9)(11)","F#","simone"
"156",NA," simone a distancia ",NA,"Eb","F#","simone"
"157",NA," simone a distancia ",NA,"Eb(#5)","F#","simone"
"158",NA," simone a distancia ",NA,"Eb","F#","simone"
"159",NA," simone a idade do ceu ",NA,"D7M","E","simone"
"160",NA," simone a idade do ceu ",NA,"B9","E","simone"
"161",NA," simone a idade do ceu ",NA,"A9","E","simone"
"162",NA," simone a idade do ceu ",NA,"E6","E","simone"
"163",NA," simone a idade do ceu ",NA,"D7M","E","simone"
"164",NA," simone a idade do ceu ",NA,"B9","E","simone"
"165",NA," simone a idade do ceu ",NA,"A9","E","simone"
"166",NA," simone a idade do ceu ",NA,"D7M","E","simone"
"167",NA," simone a idade do ceu ",NA,"Ebm7(b5)","E","simone"
"168",NA," simone a idade do ceu ",NA,"A9/E","E","simone"
"169",NA," simone a idade do ceu ",NA,"Fº","E","simone"
"170",NA," simone a idade do ceu ",NA,"D7M","E","simone"
"171",22," simone a outra ",17,"Eb7M(9)","G#","simone"
"172",22," simone a outra ",17,"Cm7(9)","G#","simone"
"173",22," simone a outra ",17,"Eb7M(9)","G#","simone"
"174",22," simone a outra ",17,"C7(4)(9)","G#","simone"
"175",22," simone a outra ",17,"C7(b9)","G#","simone"
"176",22," simone a outra ",17,"Fm7(9)","G#","simone"
"177",22," simone a outra ",17,"Bb7(4)(b9)","G#","simone"
"178",22," simone a outra ",17,"Cm7(9)","G#","simone"
"179",22," simone a outra ",17,"Gm7(11)","G#","simone"
"180",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"181",22," simone a outra ",17,"Bb7(4)(b9)","G#","simone"
"182",22," simone a outra ",17,"Eb7M(9)","G#","simone"
"183",22," simone a outra ",17,"C7(4)(9)","G#","simone"
"184",22," simone a outra ",17,"C7(b9)","G#","simone"
"185",22," simone a outra ",17,"Fm7(9)","G#","simone"
"186",22," simone a outra ",17,"Bb7(4)(b9)","G#","simone"
"187",22," simone a outra ",17,"Eb7M(9)","G#","simone"
"188",22," simone a outra ",17,"D7(4)(9)","G#","simone"
"189",22," simone a outra ",17,"G7M(9)","G#","simone"
"190",22," simone a outra ",17,"G#m7(b5)","G#","simone"
"191",22," simone a outra ",17,"C#7","G#","simone"
"192",22," simone a outra ",17,"F#7M(9)","G#","simone"
"193",22," simone a outra ",17,"Gm7(b5)","G#","simone"
"194",22," simone a outra ",17,"C7","G#","simone"
"195",22," simone a outra ",17,"F7M(9)","G#","simone"
"196",22," simone a outra ",17,"F#m7(b5)","G#","simone"
"197",22," simone a outra ",17,"B7","G#","simone"
"198",22," simone a outra ",17,"E7M(9)","G#","simone"
"199",22," simone a outra ",17,"C#m7(9)","G#","simone"
"200",22," simone a outra ",17,"C#m7/B","G#","simone"
"201",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"202",22," simone a outra ",17,"G7(b13)","G#","simone"
"203",22," simone a outra ",17,"Cm7M(9)(11)","G#","simone"
"204",22," simone a outra ",17,"Ab7M/C","G#","simone"
"205",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"206",22," simone a outra ",17,"Bb/Ab","G#","simone"
"207",22," simone a outra ",17,"G7(b13)","G#","simone"
"208",22," simone a outra ",17,"Db7(9)","G#","simone"
"209",22," simone a outra ",17,"Cm7(9)","G#","simone"
"210",22," simone a outra ",17,"C7(b9)","G#","simone"
"211",22," simone a outra ",17,"Fm7(9)","G#","simone"
"212",22," simone a outra ",17,"Bb7(4)(b9)","G#","simone"
"213",22," simone a outra ",17,"C#m7/B","G#","simone"
"214",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"215",22," simone a outra ",17,"G7(b13)","G#","simone"
"216",22," simone a outra ",17,"Cm7M(9)(11)","G#","simone"
"217",22," simone a outra ",17,"Ab7M/C","G#","simone"
"218",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"219",22," simone a outra ",17,"Bb/Ab","G#","simone"
"220",22," simone a outra ",17,"G7(b13)","G#","simone"
"221",22," simone a outra ",17,"Db7(9)","G#","simone"
"222",22," simone a outra ",17,"Cm7(9)","G#","simone"
"223",22," simone a outra ",17,"C7(b9)","G#","simone"
"224",22," simone a outra ",17,"Fm7(9)","G#","simone"
"225",22," simone a outra ",17,"Bb7(4)(b9)","G#","simone"
"226",22," simone a outra ",17,"Eb7M(9)","G#","simone"
"227",22," simone a outra ",17,"D7(4)(9)","G#","simone"
"228",22," simone a outra ",17,"G7M(9)","G#","simone"
"229",22," simone a outra ",17,"G#m7(b5)","G#","simone"
"230",22," simone a outra ",17,"C#7","G#","simone"
"231",22," simone a outra ",17,"F#7M(9)","G#","simone"
"232",22," simone a outra ",17,"Gm7(b5)","G#","simone"
"233",22," simone a outra ",17,"C7","G#","simone"
"234",22," simone a outra ",17,"F7M(9)","G#","simone"
"235",22," simone a outra ",17,"F#m7(b5)","G#","simone"
"236",22," simone a outra ",17,"B7","G#","simone"
"237",22," simone a outra ",17,"E7M(9)","G#","simone"
"238",22," simone a outra ",17,"C#m7(9)","G#","simone"
"239",22," simone a outra ",17,"C#m7/B","G#","simone"
"240",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"241",22," simone a outra ",17,"G7(b13)","G#","simone"
"242",22," simone a outra ",17,"Cm7M(9)(11)","G#","simone"
"243",22," simone a outra ",17,"Ab7M/C","G#","simone"
"244",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"245",22," simone a outra ",17,"Bb/Ab","G#","simone"
"246",22," simone a outra ",17,"G7(b13)","G#","simone"
"247",22," simone a outra ",17,"Db7(9)","G#","simone"
"248",22," simone a outra ",17,"Cm7(9)","G#","simone"
"249",22," simone a outra ",17,"C7(b9)","G#","simone"
"250",22," simone a outra ",17,"Fm7(9)","G#","simone"
"251",22," simone a outra ",17,"Bb7(4)(b9)","G#","simone"
"252",22," simone a outra ",17,"Eb7M(9)","G#","simone"
"253",22," simone a outra ",17,"Cm7(9)","G#","simone"
"254",22," simone a outra ",17,"Ab7M/C","G#","simone"
"255",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"256",22," simone a outra ",17,"Bb/Ab","G#","simone"
"257",22," simone a outra ",17,"G7(b13)","G#","simone"
"258",22," simone a outra ",17,"Db7(9)","G#","simone"
"259",22," simone a outra ",17,"Cm7(9)","G#","simone"
"260",22," simone a outra ",17,"C7(b9)","G#","simone"
"261",22," simone a outra ",17,"Ab7M/C","G#","simone"
"262",22," simone a outra ",17,"Bb7(4)(9)","G#","simone"
"263",22," simone a outra ",17,"Bb/Ab","G#","simone"
"264",22," simone a outra ",17,"G7(b13)","G#","simone"
"265",22," simone a outra ",17,"Db7(9)","G#","simone"
"266",22," simone a outra ",17,"Cm7(9)","G#","simone"
"267",22," simone a outra ",17,"C7(b9)","G#","simone"
"268",22," simone a outra ",17,"Fm7(9)","G#","simone"
"269",22," simone a outra ",17,"Bb7(4)(b9)","G#","simone"
"270",22," simone a outra ",17,"Eb7M(9)","G#","simone"
"271",22," simone a outra ",17,"Cm7(9)","G#","simone"
"272",22," simone a outra ",17,"Fm7(9)","G#","simone"
"273",22," simone a outra ",17,"Bb7(4)(b9)","G#","simone"
"274",14," simone alma ",12,"C/E","G","simone"
"275",14," simone alma ",12,"Cm/Eb","G","simone"
"276",14," simone alma ",12,"G/D","G","simone"
"277",14," simone alma ",12,"C#m7(b5)","G","simone"
"278",14," simone alma ",12,"C9","G","simone"
"279",14," simone alma ",12,"G/B","G","simone"
"280",14," simone alma ",12,"Am7","G","simone"
"281",14," simone alma ",12,"D7(9)(11)","G","simone"
"282",14," simone alma ",12,"D7(b9)(11)","G","simone"
"283",14," simone alma ",12,"G6","G","simone"
"284",14," simone alma ",12,"F#7(4)","G","simone"
"285",14," simone alma ",12,"B7(b9)","G","simone"
"286",14," simone alma ",12,"C/E","G","simone"
"287",14," simone alma ",12,"Cm/Eb","G","simone"
"288",14," simone alma ",12,"G/D","G","simone"
"289",14," simone alma ",12,"C#m7(b5)","G","simone"
"290",14," simone alma ",12,"C7M(b13)","G","simone"
"291",14," simone alma ",12,"C7M(13)","G","simone"
"292",14," simone alma ",12,"Am7","G","simone"
"293",14," simone alma ",12,"D7(4)","G","simone"
"294",14," simone alma ",12,"D7","G","simone"
"295",14," simone alma ",12,"G7M","G","simone"
"296",14," simone alma ",12,"G6","G","simone"
"297",14," simone alma ",12,"F#7(4)","G","simone"
"298",14," simone alma ",12,"F#7(b5)","G","simone"
"299",14," simone alma ",12,"F#m7(b5)","G","simone"
"300",14," simone alma ",12,"B7(b9)","G","simone"
"301",14," simone alma ",12,"C/E","G","simone"
"302",14," simone alma ",12,"E7/G#","G","simone"
"303",14," simone alma ",12,"Am7M","G","simone"
"304",14," simone alma ",12,"Am7/G","G","simone"
"305",14," simone alma ",12,"C#m7(b5)","G","simone"
"306",14," simone alma ",12,"F#7(b9)","G","simone"
"307",14," simone alma ",12,"F#m7(b5)","G","simone"
"308",14," simone alma ",12,"B7(b9)","G","simone"
"309",14," simone alma ",12,"B7","G","simone"
"310",14," simone alma ",12,"Bm7(11)","G","simone"
"311",14," simone alma ",12,"E7(b9)","G","simone"
"312",14," simone alma ",12,"Am7M","G","simone"
"313",14," simone alma ",12,"Am7/G","G","simone"
"314",14," simone alma ",12,"C#m7(11)","G","simone"
"315",14," simone alma ",12,"F#7(b13)","G","simone"
"316",14," simone alma ",12,"B7(4)","G","simone"
"317",14," simone alma ",12,"B7","G","simone"
"318",14," simone alma ",12,"Am7","G","simone"
"319",14," simone alma ",12,"D7(4)","G","simone"
"320",14," simone alma ",12,"D7","G","simone"
"321",14," simone alma ",12,"G7M","G","simone"
"322",14," simone alma ",12,"G6","G","simone"
"323",14," simone alma ",12,"F#m7(b5)","G","simone"
"324",14," simone alma ",12,"B7(b9)","G","simone"
"325",14," simone alma ",12,"Bm7(b5)(9)/F","G","simone"
"326",14," simone alma ",12,"E7(b9)","G","simone"
"327",14," simone alma ",12,"A/C#","G","simone"
"328",14," simone alma ",12,"D7(4)(9)","G","simone"
"329",14," simone alma ",12,"G7M","G","simone"
"330",14," simone alma ",12,"C7(9)","G","simone"
"331",14," simone alma ",12,"F7M","G","simone"
"332",14," simone alma ",12,"B7(b9)","G","simone"
"333",14," simone alma ",12,"Em","G","simone"
"334",14," simone alma ",12,"Em","G","simone"
"335",14," simone alma ",12,"Am9","G","simone"
"336",14," simone alma ",12,"F7","G","simone"
"337",14," simone alma ",12,"Em7(9)","G","simone"
"338",23," simone ame ",36,"Cm7(b5)","F#","simone"
"339",23," simone ame ",36,"F7(4)","F#","simone"
"340",23," simone ame ",36,"F7","F#","simone"
"341",23," simone ame ",36,"Bbm7(b5)","F#","simone"
"342",23," simone ame ",36,"Eb7(b9)","F#","simone"
"343",23," simone ame ",36,"Abm7","F#","simone"
"344",23," simone ame ",36,"Db7(9)","F#","simone"
"345",23," simone ame ",36,"Gb7M","F#","simone"
"346",23," simone ame ",36,"Db7(4)(9)","F#","simone"
"347",23," simone ame ",36,"Gb7M","F#","simone"
"348",23," simone ame ",36,"Gb6","F#","simone"
"349",23," simone ame ",36,"Db7(4)","F#","simone"
"350",23," simone ame ",36,"Db7","F#","simone"
"351",23," simone ame ",36,"Dbm7","F#","simone"
"352",23," simone ame ",36,"Gb7","F#","simone"
"353",23," simone ame ",36,"B7M","F#","simone"
"354",23," simone ame ",36,"B7M(#5)","F#","simone"
"355",23," simone ame ",36,"B7M(6)","F#","simone"
"356",23," simone ame ",36,"F7","F#","simone"
"357",23," simone ame ",36,"Bbm7(b5)","F#","simone"
"358",23," simone ame ",36,"Eb7(b9)","F#","simone"
"359",23," simone ame ",36,"Abm7","F#","simone"
"360",23," simone ame ",36,"Eb7(b9)","F#","simone"
"361",23," simone ame ",36,"Abm7","F#","simone"
"362",23," simone ame ",36,"Db7(9)","F#","simone"
"363",23," simone ame ",36,"Gb7M","F#","simone"
"364",23," simone ame ",36,"Gb6","F#","simone"
"365",23," simone ame ",36,"Db7(4)","F#","simone"
"366",23," simone ame ",36,"Db7","F#","simone"
"367",23," simone ame ",36,"Dbm7","F#","simone"
"368",23," simone ame ",36,"Gb7","F#","simone"
"369",23," simone ame ",36,"B7M","F#","simone"
"370",23," simone ame ",36,"B7M(#5)","F#","simone"
"371",23," simone ame ",36,"B7M(6)","F#","simone"
"372",23," simone ame ",36,"Bb7","F#","simone"
"373",23," simone ame ",36,"Eb7","F#","simone"
"374",23," simone ame ",36,"Abm7","F#","simone"
"375",23," simone ame ",36,"Db7(9)","F#","simone"
"376",23," simone ame ",36,"Gb7M","F#","simone"
