"date","music","popul","chord","key","artist"
"1",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"2",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"3",2," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"4",2," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"5",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"6",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"7",2," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"8",2," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"9",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"10",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"11",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"12",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"13",2," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"14",2," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"15",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"16",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"17",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"18",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"19",2," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"20",2," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"21",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"22",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"23",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"24",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"25",2," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"26",2," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"27",2," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"28",2," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"29",7," thiago brava apaixonar engorda ",46,"G","G","thiago brava"
"30",7," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"31",7," thiago brava apaixonar engorda ",46,"Em","G","thiago brava"
"32",7," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"33",7," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"34",7," thiago brava apaixonar engorda ",46,"G","G","thiago brava"
"35",7," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"36",7," thiago brava apaixonar engorda ",46,"Em","G","thiago brava"
"37",7," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"38",7," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"39",7," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"40",7," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"41",7," thiago brava apaixonar engorda ",46,"G","G","thiago brava"
"42",7," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"43",7," thiago brava apaixonar engorda ",46,"Em","G","thiago brava"
"44",7," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"45",7," thiago brava apaixonar engorda ",46,"G","G","thiago brava"
"46",7," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"47",7," thiago brava apaixonar engorda ",46,"Em","G","thiago brava"
"48",7," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"49",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"50",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"51",4," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"52",4," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"53",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"54",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"55",4," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"56",4," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"57",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"58",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"59",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"60",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"61",4," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"62",4," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"63",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"64",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"65",4," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"66",4," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"67",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"68",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"69",4," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"70",4," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"71",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"72",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"73",4," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"74",4," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"75",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"76",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"77",4," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"78",4," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"79",4," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"80",4," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
