"date" "music" "popul" "chord" "key" "artist"
"1" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"2" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"3" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "B7" "E" "tiao carreiro e pardinho"
"4" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"5" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "B7" "E" "tiao carreiro e pardinho"
"6" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "B7" "E" "tiao carreiro e pardinho"
"7" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"8" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "B7" "E" "tiao carreiro e pardinho"
"9" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"10" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "B7" "E" "tiao carreiro e pardinho"
"11" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"12" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "B7" "E" "tiao carreiro e pardinho"
"13" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"14" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"15" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"16" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "B7" "E" "tiao carreiro e pardinho"
"17" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "E" "E" "tiao carreiro e pardinho"
"18" "2014-09-15" " tiao carreiro e pardinho a beleza do ponteio " 32 "B7" "E" "tiao carreiro e pardinho"
"19" "2005-08-22" " tiao carreiro e pardinho a casa " 16 "E" "E" "tiao carreiro e pardinho"
"20" "2005-08-22" " tiao carreiro e pardinho a casa " 16 "B7" "E" "tiao carreiro e pardinho"
"21" "2005-08-22" " tiao carreiro e pardinho a casa " 16 "E" "E" "tiao carreiro e pardinho"
