"date","music","popul","chord","key","artist"
"1",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"2",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"3",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"4",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"5",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"6",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"7",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"8",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"9",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"10",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"11",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"12",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"13",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"14",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"15",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"16",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"17",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"18",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"19",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"20",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"21",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"22",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"23",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"24",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"25",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"26",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"27",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"28",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"29",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"30",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"31",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"32",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"33",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"34",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"35",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"36",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"37",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"38",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"39",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"40",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"41",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"42",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"43",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"44",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"45",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
"46",8," tim maia a festa do santo reis ",43,"D","A","tim maia"
"47",8," tim maia a festa do santo reis ",43,"A","A","tim maia"
"48",8," tim maia a festa do santo reis ",43,"E","A","tim maia"
