"date","music","popul","chord","key","artist"
"1",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"2",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"3",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"4",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"5",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"6",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"7",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"8",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"9",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"10",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"11",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"12",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"13",3," tribalistas alianca ",64,"F#7+","C#","tribalistas"
"14",3," tribalistas alianca ",64,"G#sus","C#","tribalistas"
"15",3," tribalistas alianca ",64,"F7/A","C#","tribalistas"
"16",3," tribalistas alianca ",64,"Bbm7(11)","C#","tribalistas"
"17",3," tribalistas alianca ",64,"Cm7(11)","C#","tribalistas"
"18",3," tribalistas alianca ",64,"F7","C#","tribalistas"
"19",3," tribalistas alianca ",64,"Bbm7+","C#","tribalistas"
"20",3," tribalistas alianca ",64,"Bbm7","C#","tribalistas"
"21",3," tribalistas alianca ",64,"G#sus","C#","tribalistas"
"22",3," tribalistas alianca ",64,"G#7(9)","C#","tribalistas"
"23",3," tribalistas alianca ",64,"C#7+","C#","tribalistas"
"24",3," tribalistas alianca ",64,"F7","C#","tribalistas"
"25",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"26",3," tribalistas alianca ",64,"D#7/9","C#","tribalistas"
"27",3," tribalistas alianca ",64,"D#m7/9","C#","tribalistas"
"28",3," tribalistas alianca ",64,"G#13","C#","tribalistas"
"29",3," tribalistas alianca ",64,"C#7+","C#","tribalistas"
"30",3," tribalistas alianca ",64,"C#6(9)","C#","tribalistas"
"31",3," tribalistas alianca ",64,"C#7+","C#","tribalistas"
"32",3," tribalistas alianca ",64,"F7","C#","tribalistas"
"33",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"34",3," tribalistas alianca ",64,"D#7/9","C#","tribalistas"
"35",3," tribalistas alianca ",64,"D#m7/9","C#","tribalistas"
"36",3," tribalistas alianca ",64,"G#13","C#","tribalistas"
"37",3," tribalistas alianca ",64,"F7","C#","tribalistas"
"38",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"39",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"40",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"41",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"42",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"43",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"44",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"45",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"46",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"47",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"48",3," tribalistas alianca ",64,"Bbm","C#","tribalistas"
"49",3," tribalistas alianca ",64,"F#m6","C#","tribalistas"
"50",3," tribalistas alianca ",64,"F#7+","C#","tribalistas"
