"date","music","popul","chord","key","artist"
"1",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"2",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"3",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"4",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"5",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"6",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"7",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"8",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"9",27," trio parada dura a estatua ",25,"D","A","trio parada dura"
"10",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"11",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"12",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"13",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"14",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"15",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"16",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"17",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"18",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"19",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"20",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"21",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"22",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"23",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"24",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"25",27," trio parada dura a estatua ",25,"D","A","trio parada dura"
"26",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"27",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"28",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"29",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"30",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"31",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"32",27," trio parada dura a estatua ",25,"D","A","trio parada dura"
"33",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"34",27," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"35",27," trio parada dura a estatua ",25,"A","A","trio parada dura"
"36",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"37",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"38",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"39",NA," trio parada dura a hora certa nao importa ",NA,"Bb7","B","trio parada dura"
"40",NA," trio parada dura a hora certa nao importa ",NA,"E","B","trio parada dura"
"41",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"42",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"43",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"44",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"45",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"46",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"47",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"48",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"49",NA," trio parada dura a hora certa nao importa ",NA,"E","B","trio parada dura"
"50",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"51",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"52",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"53",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"54",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"55",NA," trio parada dura a hora certa nao importa ",NA,"Bb7","B","trio parada dura"
"56",NA," trio parada dura a hora certa nao importa ",NA,"E","B","trio parada dura"
"57",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"58",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"59",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"60",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"61",NA," trio parada dura a hora certa nao importa ",NA,"E","B","trio parada dura"
"62",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"63",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"64",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"65",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"66",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"67",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"68",NA," trio parada dura a hora certa nao importa ",NA,"Bb7","B","trio parada dura"
"69",NA," trio parada dura a hora certa nao importa ",NA,"E","B","trio parada dura"
"70",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"71",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"72",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"73",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"74",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"75",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"76",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"77",NA," trio parada dura a hora certa nao importa ",NA,"Bb7","B","trio parada dura"
"78",NA," trio parada dura a hora certa nao importa ",NA,"E","B","trio parada dura"
"79",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"80",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"81",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"82",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"83",NA," trio parada dura a hora certa nao importa ",NA,"E","B","trio parada dura"
"84",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"85",NA," trio parada dura a hora certa nao importa ",NA,"F#","B","trio parada dura"
"86",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
"87",NA," trio parada dura a hora certa nao importa ",NA,"Bb","B","trio parada dura"
