"date" "music" "popul" "chord" "key" "artist"
"1" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"2" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"3" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"4" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"5" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"6" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"7" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"8" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"9" "2017-09-01" " trio parada dura a estatua " 27 "D" "A" "trio parada dura"
"10" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"11" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"12" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"13" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"14" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"15" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"16" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"17" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"18" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"19" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"20" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"21" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"22" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"23" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"24" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"25" "2017-09-01" " trio parada dura a estatua " 27 "D" "A" "trio parada dura"
"26" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"27" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"28" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"29" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"30" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"31" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"32" "2017-09-01" " trio parada dura a estatua " 27 "D" "A" "trio parada dura"
"33" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"34" "2017-09-01" " trio parada dura a estatua " 27 "E7" "A" "trio parada dura"
"35" "2017-09-01" " trio parada dura a estatua " 27 "A" "A" "trio parada dura"
"36" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"37" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"38" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"39" NA " trio parada dura a hora certa nao importa " NA "Bb7" "B" "trio parada dura"
"40" NA " trio parada dura a hora certa nao importa " NA "E" "B" "trio parada dura"
"41" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"42" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"43" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"44" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"45" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"46" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"47" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"48" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"49" NA " trio parada dura a hora certa nao importa " NA "E" "B" "trio parada dura"
"50" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"51" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"52" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"53" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"54" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"55" NA " trio parada dura a hora certa nao importa " NA "Bb7" "B" "trio parada dura"
"56" NA " trio parada dura a hora certa nao importa " NA "E" "B" "trio parada dura"
"57" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"58" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"59" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"60" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"61" NA " trio parada dura a hora certa nao importa " NA "E" "B" "trio parada dura"
"62" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"63" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"64" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"65" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"66" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"67" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"68" NA " trio parada dura a hora certa nao importa " NA "Bb7" "B" "trio parada dura"
"69" NA " trio parada dura a hora certa nao importa " NA "E" "B" "trio parada dura"
"70" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"71" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"72" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"73" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"74" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"75" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"76" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"77" NA " trio parada dura a hora certa nao importa " NA "Bb7" "B" "trio parada dura"
"78" NA " trio parada dura a hora certa nao importa " NA "E" "B" "trio parada dura"
"79" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"80" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"81" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"82" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"83" NA " trio parada dura a hora certa nao importa " NA "E" "B" "trio parada dura"
"84" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"85" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"86" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"87" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"88" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"89" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"90" NA " trio parada dura a hora certa nao importa " NA "F#" "B" "trio parada dura"
"91" NA " trio parada dura a hora certa nao importa " NA "Bb" "B" "trio parada dura"
"92" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"93" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"94" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"95" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"96" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"97" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"98" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"99" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"100" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"101" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"102" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"103" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"104" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"105" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"106" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"107" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"108" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"109" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"110" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"111" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"112" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"113" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"114" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"115" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"116" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"117" "1999" " trio parada dura a nossa casa " 3 "B7" "A" "trio parada dura"
"118" "1999" " trio parada dura a nossa casa " 3 "E" "A" "trio parada dura"
"119" "1999" " trio parada dura a nossa casa " 3 "B7" "A" "trio parada dura"
"120" "1999" " trio parada dura a nossa casa " 3 "E" "A" "trio parada dura"
"121" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"122" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"123" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"124" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"125" "1999" " trio parada dura a nossa casa " 3 "B7" "A" "trio parada dura"
"126" "1999" " trio parada dura a nossa casa " 3 "E" "A" "trio parada dura"
"127" "1999" " trio parada dura a nossa casa " 3 "B7" "A" "trio parada dura"
"128" "1999" " trio parada dura a nossa casa " 3 "E" "A" "trio parada dura"
"129" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"130" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"131" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"132" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"133" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"134" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"135" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"136" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"137" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"138" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"139" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"140" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"141" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"142" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"143" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"144" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"145" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"146" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"147" "1999" " trio parada dura a nossa casa " 3 "D" "A" "trio parada dura"
"148" "1999" " trio parada dura a nossa casa " 3 "E7" "A" "trio parada dura"
"149" "1999" " trio parada dura a nossa casa " 3 "A" "A" "trio parada dura"
"150" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"151" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"152" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"153" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"154" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"155" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"156" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"157" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"158" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"159" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"160" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"161" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"162" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"163" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"164" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"165" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"166" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"167" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"168" "1999" " trio parada dura a vaquinha " 9 "C7" "C" "trio parada dura"
"169" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"170" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"171" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"172" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"173" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"174" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"175" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"176" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"177" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"178" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"179" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"180" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"181" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"182" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"183" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"184" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"185" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"186" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"187" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"188" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"189" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"190" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"191" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"192" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"193" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"194" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"195" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"196" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"197" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"198" "1999" " trio parada dura a vaquinha " 9 "C7" "C" "trio parada dura"
"199" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"200" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"201" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"202" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"203" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"204" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"205" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"206" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"207" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"208" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"209" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"210" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"211" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"212" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"213" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"214" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"215" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"216" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"217" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"218" "1999" " trio parada dura a vaquinha " 9 "C7" "C" "trio parada dura"
"219" "1999" " trio parada dura a vaquinha " 9 "F" "C" "trio parada dura"
"220" "1999" " trio parada dura a vaquinha " 9 "G7" "C" "trio parada dura"
"221" "1999" " trio parada dura a vaquinha " 9 "C" "C" "trio parada dura"
"222" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"223" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"224" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"225" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"226" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"227" "1999" " trio parada dura a moca do carro de boi " 11 "A7" "A" "trio parada dura"
"228" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"229" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"230" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"231" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"232" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"233" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"234" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"235" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"236" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"237" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"238" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"239" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"240" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"241" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"242" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"243" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"244" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"245" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"246" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"247" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"248" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"249" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"250" "1999" " trio parada dura a moca do carro de boi " 11 "A7" "A" "trio parada dura"
"251" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"252" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"253" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"254" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
"255" "1999" " trio parada dura a moca do carro de boi " 11 "D" "A" "trio parada dura"
"256" "1999" " trio parada dura a moca do carro de boi " 11 "E7" "A" "trio parada dura"
"257" "1999" " trio parada dura a moca do carro de boi " 11 "A" "A" "trio parada dura"
