"date" "music" "popul" "chord" "key" "artist"
"1" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"2" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"3" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "C" "G" "vanessa da mata"
"4" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"5" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"6" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"7" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "C" "G" "vanessa da mata"
"8" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"9" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"10" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"11" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "C" "G" "vanessa da mata"
"12" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"13" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"14" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"15" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "C" "G" "vanessa da mata"
"16" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"17" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"18" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "C" "G" "vanessa da mata"
"19" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"20" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"21" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G/F" "G" "vanessa da mata"
"22" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "C" "G" "vanessa da mata"
"23" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"24" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"25" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"26" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "C" "G" "vanessa da mata"
"27" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"28" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"29" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"30" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "C" "G" "vanessa da mata"
"31" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "D" "G" "vanessa da mata"
"32" "1999-01-10" " vanessa da mata a forca que nunca seca " 22 "G" "G" "vanessa da mata"
"33" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"34" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"35" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"36" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"37" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"38" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"39" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"40" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"41" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"42" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"43" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"44" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"45" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"46" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"47" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"48" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"49" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"50" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"51" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"52" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"53" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"54" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"55" "2007" " vanessa da mata absurdo " 32 "F#m" "D" "vanessa da mata"
"56" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
"57" "2007" " vanessa da mata absurdo " 32 "C#m" "D" "vanessa da mata"
"58" "2007" " vanessa da mata absurdo " 32 "Cm" "D" "vanessa da mata"
"59" "2007" " vanessa da mata absurdo " 32 "Bm" "D" "vanessa da mata"
