"date","music","popul","chord","key","artist"
"1",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"2",16," ze ramalho a danca das borboletas ",33,"Eº","G","ze ramalho"
"3",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"4",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"5",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"6",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"7",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"8",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"9",16," ze ramalho a danca das borboletas ",33,"D","G","ze ramalho"
"10",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"11",16," ze ramalho a danca das borboletas ",33,"D","G","ze ramalho"
"12",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"13",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"14",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"15",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"16",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"17",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"18",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"19",16," ze ramalho a danca das borboletas ",33,"D","G","ze ramalho"
"20",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"21",16," ze ramalho a danca das borboletas ",33,"D","G","ze ramalho"
"22",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"23",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"24",16," ze ramalho a danca das borboletas ",33,"Eº","G","ze ramalho"
"25",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"26",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"27",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"28",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"29",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"30",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"31",16," ze ramalho a danca das borboletas ",33,"D","G","ze ramalho"
"32",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"33",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"34",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"35",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"36",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"37",16," ze ramalho a danca das borboletas ",33,"Am","G","ze ramalho"
"38",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"39",16," ze ramalho a danca das borboletas ",33,"D","G","ze ramalho"
"40",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"41",16," ze ramalho a danca das borboletas ",33,"D","G","ze ramalho"
"42",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"43",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"44",16," ze ramalho a danca das borboletas ",33,"Eº","G","ze ramalho"
"45",16," ze ramalho a danca das borboletas ",33,"Em","G","ze ramalho"
"46",16," ze ramalho a danca das borboletas ",33,"D","G","ze ramalho"
