"date" "music" "popul" "chord" "key" "artist"
"1" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"2" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Am" "C" "ze neto cristiano"
"3" "2015-12-04" " ze neto cristiano abaixa o som " 53 "C" "C" "ze neto cristiano"
"4" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"5" "2015-12-04" " ze neto cristiano abaixa o som " 53 "C" "C" "ze neto cristiano"
"6" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"7" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Am" "C" "ze neto cristiano"
"8" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Em" "C" "ze neto cristiano"
"9" "2015-12-04" " ze neto cristiano abaixa o som " 53 "F" "C" "ze neto cristiano"
"10" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"11" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"12" "2015-12-04" " ze neto cristiano abaixa o som " 53 "C" "C" "ze neto cristiano"
"13" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"14" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Am" "C" "ze neto cristiano"
"15" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Em" "C" "ze neto cristiano"
"16" "2015-12-04" " ze neto cristiano abaixa o som " 53 "F" "C" "ze neto cristiano"
"17" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"18" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"19" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"20" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Am" "C" "ze neto cristiano"
"21" "2015-12-04" " ze neto cristiano abaixa o som " 53 "F" "C" "ze neto cristiano"
"22" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"23" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"24" "2015-12-04" " ze neto cristiano abaixa o som " 53 "F" "C" "ze neto cristiano"
"25" "2015-12-04" " ze neto cristiano abaixa o som " 53 "C" "C" "ze neto cristiano"
"26" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Em" "C" "ze neto cristiano"
"27" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"28" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"29" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Am" "C" "ze neto cristiano"
"30" "2015-12-04" " ze neto cristiano abaixa o som " 53 "C" "C" "ze neto cristiano"
"31" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"32" "2015-12-04" " ze neto cristiano abaixa o som " 53 "F" "C" "ze neto cristiano"
"33" "2015-12-04" " ze neto cristiano abaixa o som " 53 "C" "C" "ze neto cristiano"
"34" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Em" "C" "ze neto cristiano"
"35" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"36" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"37" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Am" "C" "ze neto cristiano"
"38" "2015-12-04" " ze neto cristiano abaixa o som " 53 "C" "C" "ze neto cristiano"
"39" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"40" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Dm" "C" "ze neto cristiano"
"41" "2015-12-04" " ze neto cristiano abaixa o som " 53 "Am" "C" "ze neto cristiano"
"42" "2015-12-04" " ze neto cristiano abaixa o som " 53 "C" "C" "ze neto cristiano"
"43" "2015-12-04" " ze neto cristiano abaixa o som " 53 "G" "C" "ze neto cristiano"
"44" "2017-02-03" " ze neto cristiano ai fechou " 49 "E" "E" "ze neto cristiano"
"45" "2017-02-03" " ze neto cristiano ai fechou " 49 "B9" "E" "ze neto cristiano"
"46" "2017-02-03" " ze neto cristiano ai fechou " 49 "F#m" "E" "ze neto cristiano"
