"date","music","popul","chord","key","artist"
"1",17," zeca baleiro a depender de mim ",17,"E9","A","zeca baleiro"
"2",17," zeca baleiro a depender de mim ",17,"E6","A","zeca baleiro"
"3",17," zeca baleiro a depender de mim ",17,"A9","A","zeca baleiro"
"4",17," zeca baleiro a depender de mim ",17,"E9","A","zeca baleiro"
"5",17," zeca baleiro a depender de mim ",17,"B7","A","zeca baleiro"
"6",17," zeca baleiro a depender de mim ",17,"E9","A","zeca baleiro"
"7",17," zeca baleiro a depender de mim ",17,"D/F#","A","zeca baleiro"
"8",17," zeca baleiro a depender de mim ",17,"E/G#","A","zeca baleiro"
"9",17," zeca baleiro a depender de mim ",17,"D#7","A","zeca baleiro"
"10",17," zeca baleiro a depender de mim ",17,"D","A","zeca baleiro"
"11",17," zeca baleiro a depender de mim ",17,"A7","A","zeca baleiro"
"12",17," zeca baleiro a depender de mim ",17,"G","A","zeca baleiro"
"13",17," zeca baleiro a depender de mim ",17,"E4/B","A","zeca baleiro"
"14",17," zeca baleiro a depender de mim ",17,"E","A","zeca baleiro"
"15",17," zeca baleiro a depender de mim ",17,"B7","A","zeca baleiro"
"16",17," zeca baleiro a depender de mim ",17,"A9","A","zeca baleiro"
"17",17," zeca baleiro a depender de mim ",17,"E/G#","A","zeca baleiro"
"18",17," zeca baleiro a depender de mim ",17,"E","A","zeca baleiro"
"19",17," zeca baleiro a depender de mim ",17,"E/G#","A","zeca baleiro"
"20",17," zeca baleiro a depender de mim ",17,"F#","A","zeca baleiro"
"21",17," zeca baleiro a depender de mim ",17,"E9","A","zeca baleiro"
"22",17," zeca baleiro a depender de mim ",17,"B7","A","zeca baleiro"
"23",17," zeca baleiro a depender de mim ",17,"A9","A","zeca baleiro"
"24",17," zeca baleiro a depender de mim ",17,"E/G#","A","zeca baleiro"
"25",17," zeca baleiro a depender de mim ",17,"E","A","zeca baleiro"
"26",17," zeca baleiro a depender de mim ",17,"F#","A","zeca baleiro"
"27",17," zeca baleiro a depender de mim ",17,"A","A","zeca baleiro"
"28",17," zeca baleiro a depender de mim ",17,"B","A","zeca baleiro"
"29",17," zeca baleiro a depender de mim ",17,"A9","A","zeca baleiro"
"30",17," zeca baleiro a depender de mim ",17,"E9","A","zeca baleiro"
"31",17," zeca baleiro a depender de mim ",17,"B7","A","zeca baleiro"
"32",17," zeca baleiro a depender de mim ",17,"E9","A","zeca baleiro"
"33",17," zeca baleiro a depender de mim ",17,"D/F#","A","zeca baleiro"
"34",17," zeca baleiro a depender de mim ",17,"E/G#","A","zeca baleiro"
"35",17," zeca baleiro a depender de mim ",17,"D#7","A","zeca baleiro"
"36",17," zeca baleiro a depender de mim ",17,"D","A","zeca baleiro"
"37",17," zeca baleiro a depender de mim ",17,"A7","A","zeca baleiro"
