"date","music","popul","chord","key","artist"
"1",NA," zeze di camargo e luciano 200 anos ",NA,"D","C","zeze di camargo e luciano"
"2",NA," zeze di camargo e luciano 200 anos ",NA,"G","C","zeze di camargo e luciano"
"3",NA," zeze di camargo e luciano 200 anos ",NA,"D","C","zeze di camargo e luciano"
"4",NA," zeze di camargo e luciano 200 anos ",NA,"G","C","zeze di camargo e luciano"
"5",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"6",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"7",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"8",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"9",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"10",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"11",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"12",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"13",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"14",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"15",NA," zeze di camargo e luciano 200 anos ",NA,"Dm","C","zeze di camargo e luciano"
"16",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"17",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"18",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"19",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"20",NA," zeze di camargo e luciano 200 anos ",NA,"C7","C","zeze di camargo e luciano"
"21",NA," zeze di camargo e luciano 200 anos ",NA,"F","C","zeze di camargo e luciano"
"22",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"23",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"24",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"25",NA," zeze di camargo e luciano 200 anos ",NA,"D7","C","zeze di camargo e luciano"
"26",NA," zeze di camargo e luciano 200 anos ",NA,"G","C","zeze di camargo e luciano"
"27",NA," zeze di camargo e luciano 200 anos ",NA,"D7","C","zeze di camargo e luciano"
"28",NA," zeze di camargo e luciano 200 anos ",NA,"G","C","zeze di camargo e luciano"
"29",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"30",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"31",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"32",NA," zeze di camargo e luciano 200 anos ",NA,"D7","C","zeze di camargo e luciano"
"33",NA," zeze di camargo e luciano 200 anos ",NA,"G","C","zeze di camargo e luciano"
"34",NA," zeze di camargo e luciano 200 anos ",NA,"D7","C","zeze di camargo e luciano"
"35",NA," zeze di camargo e luciano 200 anos ",NA,"G","C","zeze di camargo e luciano"
"36",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"37",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"38",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"39",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"40",NA," zeze di camargo e luciano 200 anos ",NA,"G7","C","zeze di camargo e luciano"
"41",NA," zeze di camargo e luciano 200 anos ",NA,"C","C","zeze di camargo e luciano"
"42",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#m","E","zeze di camargo e luciano"
"43",NA," zeze di camargo e luciano a distancia 186361 ",NA,"F#m","E","zeze di camargo e luciano"
"44",NA," zeze di camargo e luciano a distancia 186361 ",NA,"B7","E","zeze di camargo e luciano"
"45",NA," zeze di camargo e luciano a distancia 186361 ",NA,"E","E","zeze di camargo e luciano"
"46",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ab7","E","zeze di camargo e luciano"
"47",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#m","E","zeze di camargo e luciano"
"48",NA," zeze di camargo e luciano a distancia 186361 ",NA,"F#m","E","zeze di camargo e luciano"
"49",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ebm7","E","zeze di camargo e luciano"
"50",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ab7","E","zeze di camargo e luciano"
"51",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#","E","zeze di camargo e luciano"
"52",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ebm","E","zeze di camargo e luciano"
"53",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ab7","E","zeze di camargo e luciano"
"54",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ebm","E","zeze di camargo e luciano"
"55",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ab7","E","zeze di camargo e luciano"
"56",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#","E","zeze di camargo e luciano"
"57",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Fm","E","zeze di camargo e luciano"
"58",NA," zeze di camargo e luciano a distancia 186361 ",NA,"F#","E","zeze di camargo e luciano"
"59",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#","E","zeze di camargo e luciano"
"60",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ab7","E","zeze di camargo e luciano"
"61",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#","E","zeze di camargo e luciano"
"62",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#m","E","zeze di camargo e luciano"
"63",NA," zeze di camargo e luciano a distancia 186361 ",NA,"F#m","E","zeze di camargo e luciano"
"64",NA," zeze di camargo e luciano a distancia 186361 ",NA,"B7","E","zeze di camargo e luciano"
"65",NA," zeze di camargo e luciano a distancia 186361 ",NA,"E","E","zeze di camargo e luciano"
"66",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ab7","E","zeze di camargo e luciano"
"67",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#m","E","zeze di camargo e luciano"
"68",NA," zeze di camargo e luciano a distancia 186361 ",NA,"F#m","E","zeze di camargo e luciano"
"69",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ebm7","E","zeze di camargo e luciano"
"70",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ab7","E","zeze di camargo e luciano"
"71",NA," zeze di camargo e luciano a distancia 186361 ",NA,"C#","E","zeze di camargo e luciano"
"72",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ebm","E","zeze di camargo e luciano"
"73",NA," zeze di camargo e luciano a distancia 186361 ",NA,"Ab7","E","zeze di camargo e luciano"
