"date" "music" "popul" "chord" "key" "artist"
"1" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "D" "C" "zeze di camargo e luciano"
"2" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G" "C" "zeze di camargo e luciano"
"3" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "D" "C" "zeze di camargo e luciano"
"4" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G" "C" "zeze di camargo e luciano"
"5" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"6" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"7" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"8" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"9" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"10" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"11" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"12" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"13" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"14" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"15" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "Dm" "C" "zeze di camargo e luciano"
"16" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"17" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"18" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"19" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"20" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C7" "C" "zeze di camargo e luciano"
"21" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "F" "C" "zeze di camargo e luciano"
"22" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"23" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"24" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"25" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "D7" "C" "zeze di camargo e luciano"
"26" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G" "C" "zeze di camargo e luciano"
"27" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "D7" "C" "zeze di camargo e luciano"
"28" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G" "C" "zeze di camargo e luciano"
"29" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"30" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"31" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"32" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "D7" "C" "zeze di camargo e luciano"
"33" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G" "C" "zeze di camargo e luciano"
"34" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "D7" "C" "zeze di camargo e luciano"
"35" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G" "C" "zeze di camargo e luciano"
"36" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"37" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"38" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"39" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"40" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "G7" "C" "zeze di camargo e luciano"
"41" "1992-05-07" " zeze di camargo e luciano 200 anos " 19 "C" "C" "zeze di camargo e luciano"
"42" NA " zeze di camargo e luciano a distancia 186361 " NA "C#m" "E" "zeze di camargo e luciano"
"43" NA " zeze di camargo e luciano a distancia 186361 " NA "F#m" "E" "zeze di camargo e luciano"
"44" NA " zeze di camargo e luciano a distancia 186361 " NA "B7" "E" "zeze di camargo e luciano"
"45" NA " zeze di camargo e luciano a distancia 186361 " NA "E" "E" "zeze di camargo e luciano"
"46" NA " zeze di camargo e luciano a distancia 186361 " NA "Ab7" "E" "zeze di camargo e luciano"
"47" NA " zeze di camargo e luciano a distancia 186361 " NA "C#m" "E" "zeze di camargo e luciano"
"48" NA " zeze di camargo e luciano a distancia 186361 " NA "F#m" "E" "zeze di camargo e luciano"
"49" NA " zeze di camargo e luciano a distancia 186361 " NA "Ebm7" "E" "zeze di camargo e luciano"
"50" NA " zeze di camargo e luciano a distancia 186361 " NA "Ab7" "E" "zeze di camargo e luciano"
"51" NA " zeze di camargo e luciano a distancia 186361 " NA "C#" "E" "zeze di camargo e luciano"
"52" NA " zeze di camargo e luciano a distancia 186361 " NA "Ebm" "E" "zeze di camargo e luciano"
"53" NA " zeze di camargo e luciano a distancia 186361 " NA "Ab7" "E" "zeze di camargo e luciano"
"54" NA " zeze di camargo e luciano a distancia 186361 " NA "Ebm" "E" "zeze di camargo e luciano"
"55" NA " zeze di camargo e luciano a distancia 186361 " NA "Ab7" "E" "zeze di camargo e luciano"
"56" NA " zeze di camargo e luciano a distancia 186361 " NA "C#" "E" "zeze di camargo e luciano"
"57" NA " zeze di camargo e luciano a distancia 186361 " NA "Fm" "E" "zeze di camargo e luciano"
"58" NA " zeze di camargo e luciano a distancia 186361 " NA "F#" "E" "zeze di camargo e luciano"
"59" NA " zeze di camargo e luciano a distancia 186361 " NA "C#" "E" "zeze di camargo e luciano"
"60" NA " zeze di camargo e luciano a distancia 186361 " NA "Ab7" "E" "zeze di camargo e luciano"
"61" NA " zeze di camargo e luciano a distancia 186361 " NA "C#" "E" "zeze di camargo e luciano"
